n       - an integer on a Collatz orbit
dist    - the odd-to-odd Collatz stopping distance of n
factors - a mask of the odd prime factor set of n, where each ■ represents a prime factor (3, 5, 7, etc)

   n, dist, factors
  27,   41, ■-------------------------------------------------------------------------------------------
  41,   40, -----------■--------------------------------------------------------------------------------
  31,   39, ---------■----------------------------------------------------------------------------------
  47,   38, -------------■------------------------------------------------------------------------------
  71,   37, ------------------■-------------------------------------------------------------------------
 107,   36, --------------------------■-----------------------------------------------------------------
 161,   35, --■----■------------------------------------------------------------------------------------
 121,   34, ---■----------------------------------------------------------------------------------------
  91,   33, --■-■---------------------------------------------------------------------------------------
 137,   32, -------------------------------■------------------------------------------------------------
 103,   31, -------------------------■------------------------------------------------------------------
 155,   30, -■-------■----------------------------------------------------------------------------------
 233,   29, -------------------------------------------------■------------------------------------------
 175,   28, -■■-----------------------------------------------------------------------------------------
 263,   27, ------------------------------------------------------■-------------------------------------
 395,   26, -■------------------■-----------------------------------------------------------------------
 593,   25, --------------------------------------------------------------------------------------- 593 →
 445,   24, -■--------------------■--------------------------------------------------------------------- 
 167,   23, -------------------------------------■------------------------------------------------------ 
 251,   22, ----------------------------------------------------■--------------------------------------- 
 377,   21, ----■---■----------------------------------------------------------------------------------- 
 283,   20, -----------------------------------------------------------■-------------------------------- 
 425,   19, -■---■-------------------------------------------------------------------------------------- 
 319,   18, ---■----■----------------------------------------------------------------------------------- 
 479,   17, --------------------------------------------------------------------------------------- 479 →
 719,   16, --------------------------------------------------------------------------------------- 719 →
1079,   15, ----■----------------■----------------------------------------------------------------------
1619,   14, -------------------------------------------------------------------------------------- 1619 →
2429,   13, --■----------------------------------------------------------------■------------------------
 911,   12, --------------------------------------------------------------------------------------- 911 →
1367,   11, -------------------------------------------------------------------------------------- 1367 →
2051,   10, --■---------------------------------------------------------■-------------------------------
3077,    9, -----■----------------------------------■---------------------------------------------------
 577,    8, --------------------------------------------------------------------------------------- 577 →
 433,    7, ----------------------------------------------------------------------------------■---------
 325,    6, -■--■---------------------------------------------------------------------------------------
  61,    5, ----------------■---------------------------------------------------------------------------
  23,    4, -------■------------------------------------------------------------------------------------
  35,    3, -■■-----------------------------------------------------------------------------------------
  53,    2, --------------■-----------------------------------------------------------------------------
   5,    1, -■------------------------------------------------------------------------------------------
   1,    0, --------------------------------------------------------------------------------------------
   
