n,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0,5,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,1,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7,0,7,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,9,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,1,5,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,0,11,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,2,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
13,0,13,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
14,1,7,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
15,0,15,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,0,17,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17
18,1,9,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
19,0,19,1,4,5,8,6,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19
20,2,5,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,0,21,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21,21
22,1,11,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
23,0,23,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23
24,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,0,25,1,0,4,3,12,8,6,2,25,25,25,25,25,25,25,25,25,25,25,25
26,1,13,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
27,0,27,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27
28,2,7,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
29,0,29,2,4,1,7,3,12,10,6,0,29,29,29,29,29,29,29,29,29,29,29
30,1,15,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
31,0,31,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31,31
32,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,0,33,0,3,5,0,7,16,14,10,4,2,33,33,33,33,33,33,33,33,33,33
34,1,17,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17
35,0,35,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35,35
